[0.000] init():  Atollic TrueSTUDIO gdbserver for ST-Link. Version 4.2.2 (LINUX64 2018-02-26 16:20:21 15675)
[2.529] flash_f2_get_busy_status():  FuncExit
[2.529] flash_f2_get_busy_status():  FuncEntry
[2.529] flash_f2_get_busy_status():  FuncExit
[2.529] flash_f2_get_busy_status():  FuncEntry
[2.530] flash_f2_get_busy_status():  FuncExit
[2.530] flash_f2_get_busy_status():  FuncEntry
[2.530] flash_f2_get_busy_status():  FuncExit
[2.530] flash_f2_get_busy_status():  FuncEntry
[2.530] flash_f2_get_busy_status():  FuncExit
[2.530] flash_f2_get_busy_status():  FuncEntry
[2.531] flash_f2_get_busy_status():  FuncExit
[2.531] flash_f2_get_busy_status():  FuncEntry
[2.531] flash_f2_get_busy_status():  FuncExit
[2.531] flash_f2_get_busy_status():  FuncEntry
[2.531] flash_f2_get_busy_status():  FuncExit
[2.531] flash_f2_get_busy_status():  FuncEntry
[2.531] flash_f2_get_busy_status():  FuncExit
[2.532] flash_f2_get_busy_status():  FuncEntry
[2.532] flash_f2_get_busy_status():  FuncExit
[2.532] flash_f2_get_busy_status():  FuncEntry
[2.532] flash_f2_get_busy_status():  FuncExit
[2.532] flash_f2_get_busy_status():  FuncEntry
[2.532] flash_f2_get_busy_status():  FuncExit
[2.532] flash_f2_get_busy_status():  FuncEntry
[2.533] flash_f2_get_busy_status():  FuncExit
[2.533] flash_f2_get_busy_status():  FuncEntry
[2.533] flash_f2_get_busy_status():  FuncExit
[2.533] flash_f2_get_busy_status():  FuncEntry
[2.533] flash_f2_get_busy_status():  FuncExit
[2.533] flash_f2_get_busy_status():  FuncEntry
[2.534] flash_f2_get_busy_status():  FuncExit
[2.534] flash_f2_get_busy_status():  FuncEntry
[2.534] flash_f2_get_busy_status():  FuncExit
[2.534] flash_f2_get_busy_status():  FuncEntry
[2.534] flash_f2_get_busy_status():  FuncExit
[2.534] flash_f2_get_busy_status():  FuncEntry
[2.534] flash_f2_get_busy_status():  FuncExit
[2.534] flash_f2_get_busy_status():  FuncEntry
